Structure,L_meters,log10_L,Measurement_Type,Source,Sensitivity_Notes
Proton,8.4e-16,-15.08,RMS charge radius,CODATA 2018,±2%
Atomic Orbital (H),5.29e-11,-10.28,Bohr radius,CODATA 2018,90% boundary ~3× larger
Ribosome (70S),1.1e-8,-7.96,Half diameter,BioNumbers,±20%
Bacterium (E. coli),1.0e-6,-6.00,Half cell length,BioNumbers,±30% growth-phase dependent
C. elegans,5.0e-4,-3.30,Half body length,NCBI (≈1 mm adult),±15%
Human,9.0e-1,-0.046,Half body height,Representative 1.8 m,±10%
City,1.0e3,3.00,Coordination radius,West (2017),Factor ~5 (1–5 km)
Earth,6.37e6,6.80,Mean radius,IAU 2015,±0.01%
Sun,6.96e8,8.84,Photosphere radius,IAU 2015,±0.01%
Open Cluster,1.0e17,17.00,RMS radius,Standard catalog,±20%
Local Bubble,1.0e19,19.00,RMS radius,Standard catalog,±20%
Milky Way,1.0e21,21.00,Stellar disk radius,Standard catalog,±10%
Virgo Supercluster,5.0e23,23.70,RMS radius,Standard catalog,±15%
Observable Universe,8.8e26,26.94,Comoving radius,z≈0,±5%


--- ARCHIVED v1 (2026-09-01) ---
Status: SUPERSEDED / HISTORICAL EXPLORATORY. Per handoff v2 (§5.6, §11). Not confirmed. Original file preserved at /Users/chrisrodriguez/wayfinder-deliverables/scale_table.csv.
Defects noted (§4.1-4.6): rank1 phase math invalid; scale_table.csv 14-vs-15; D4A archive; D2/D5/D6/D7/D8 superseded.
